"";"artist_id";"first_music";"similar_artists1";"similar_artists2";"similar_artists3";"music_tag1";"music_tag2";"music_tag3";"music_tag4";"music_tag5"
"1";15353;"Cara mia";0;0;0;"pop";"swedish";"male vocalists";"dance";"melodifestivalen"
"2";16249;"SAMBA DE 恋して";0;0;0;"jazz";"japanese";"instrumental";"j-jazz";"samurai jazz"
"3";14476;"You Can't Teach An Old Dog New Tricks";0;0;0;"blues";"blues rock";"folk";"singer-songwriter";"country"
"4";13505;"Yo era ninya";9064;0;0;"jewish";"world";"sephardic";"turkish";"ladino"
"5";17630;"Elektro Hexe";0;0;0;NA;NA;NA;NA;NA
"6";647;"Aphrodisiac";636;637;0;"greek";"pop";"eurovision";"female vocalists";"eurovision 2012"
"7";17842;"Sorry Baby (Radio Edit)";0;0;17839;"indie rock";"czech";"rock";"indie";"alternative rock"
"8";17749;"First Day of My Life (Bright Eyes cover) - Talek Julian";0;0;0;NA;NA;NA;NA;NA
"9";17961;"The Wind-Up";0;0;0;"dubstep";"electronic";"minimal";"techno";"dub"
"10";10143;"Never Knew Love Like This Before";0;16521;0;"soul";"female vocalists";"disco";"funk";"80s"
"11";1379;"Wonderful Life";0;0;1713;"synthpop";"electronic";"british";"new wave";"pop"
"12";8415;"The Apple";0;7156;0;"soundtrack";"instrumental";"composer";"score";"film score"
"13";6988;"Dust particles";0;11090;0;"dark ambient";"idm";"industrial";"rhythmic noise";"ambient"
"14";12703;"From Across the Sea";7890;0;7894;"post-rock";"ambient";"indie";"swedish";"post rock"
"15";13657;"No Delay for Days";0;0;0;"idm";"experimental";"glitch";"ambient";"electronic"
"16";2647;"Buffalo Bill";0;0;0;"funky";"rockabilly";"hip-hop";"american";"space"
"17";4274;"Metal and Mayhem";4268;16661;0;"death metal";"old school death metal";"swedish death metal";"swedish";"thrash metal"
"18";18609;"Ohne dich";0;0;0;"rock";"german";"alternative";"deutschrock";"deutsch"
"19";2012;"CoolAs";1904;0;0;"neofolk";"soundtrack";"anime";"post-punk";"k-pop"
"20";17352;"Morocco - Raoul Journo / Ma Th";0;0;0;NA;NA;NA;NA;NA
"21";11542;"Vale";0;0;0;"dub";"downtempo";"ambient";"chillout";"groovesalad"
"22";15834;"Герой";7610;0;0;"metal";"rock";"heavy metal";"hard rock";"alternative"
"23";1906;"MIROTIC";0;4515;0;"k-pop";"korean";"j-pop";"tvxq";"japanese"
"24";17059;"Twin Sisters";0;17069;17062;NA;NA;NA;NA;NA
"25";8418;"Borders";2600;443;4116;"indie";"indie rock";"british";"alternative";"new rave"
"26";7270;"Eu Sou Rica (Pobreza Pega)";0;15322;0;"electronic";"dance";"eu sou ryca";"masterpiece";"dj felipe guerra"
"27";16976;"Give It To Me";0;0;0;"female vocalists";NA;NA;NA;NA
"28";12162;"Spit It Out";5158;922;0;"heavy metal";"hard rock";"metal";"nwobhm";"rock"
"29";15639;"Sunspots";15637;10766;0;"post-punk";"psychedelic";"alternative";"rock";"indie"
"30";6736;"Heart and Soul";6714;0;6737;"80s";"pop";"female vocalists";"new wave";"rock"
"31";16681;"that mortal kiss";0;16687;0;"indie pop";"norwegian";"indie";"twee";"scandinavian"
"32";16766;"Something About the Sunshine";1698;793;0;"pop";"disney";"female vocalists";"american";"children"
"33";12239;"Slow Motion";9837;11074;12243;"dancehall";"reggae";"ragga";"jamaican";"bounty killer"
"34";3130;"Totally Together";0;16101;0;"reggae";"ska";"rocksteady";"dub";"jazz"
"35";8375;"Sin Miedo a Nada (feat. Amaia Montero)";2053;3060;1440;"spanish";"pop";"latin";"latin pop";"latino"
"36";10162;"Prey & Obey";13754;0;876;"industrial rock";"industrial";"industrial metal";"electronic";"wax trax"
"37";9658;"Panselinos";640;637;0;"greek";"pop";"dance";"female vocalists";"techno"
"38";2238;"Black Superman";0;0;2231;"gangsta rap";"g-funk";"hip-hop";"rap";"west coast rap"
"39";821;"Twilight of the Thunder God";824;953;812;"melodic death metal";"viking metal";"death metal";"metal";"swedish"
"40";2715;"Melody X";0;0;4387;"indie";"dance-punk";"electro rock";"dance punk";"electronic"
"41";4188;"Accident Prone";4190;13515;8469;"punk";"punk rock";"emo";"pop punk";"indie"
"42";17837;"Baby Te Quiero (Official Remix) by baner reggaeton";0;0;0;NA;NA;NA;NA;NA
"43";7234;"La Lambada On N'Aime Pas Ca";0;0;0;"punk";"french";"french rock";"france";"rock francais"
"44";15959;"No Quiero Ser Idiota";0;0;0;"spanish";"rock";"pop rock";"female vocalists";"pop"
"45";17737;"Lembranças";14271;0;0;"rock";"garage rock";"brazil";"brasil";"heartbreak"
"46";12115;"Days of Wine and Roses";0;2296;0;"jazz";"jazz guitar";"guitar";"hard bop";"blues"
"47";4939;"7861";832;1567;0;"metalcore";"deathcore";"melodic metalcore";"hardcore";"death metal"
"48";13725;"Michael Douglas";0;18259;0;"brazilian";"o cara";"electronic";"brasil";"pop"
"49";3782;"Gallows Hymn";4270;4605;6576;"black metal";"folk metal";"pagan metal";"doom metal";"metal"
"50";12126;"Bad Bad World";0;0;0;"singer-songwriter";"usa";"2010s";NA;NA
"51";10026;"Creep";0;0;0;"lounge";"jazz";"comedy";"covers";"cover"
"52";4043;"No Limit";3972;0;0;"eurodance";"dance";"90s";"techno";"electronic"
"53";252;"So Into You";287;272;241;"rnb";"soul";"female vocalists";"tamia";"r&b"
