,userID,tags
0,2,"{'electronic': 32, 'pop': 21, 'female vocalists': 17, '80s': 17, 'new wave': 13}"
1,3,"{'ambient': 33, 'electronic': 25, 'experimental': 25, 'glitch': 8, 'piano': 8}"
2,4,"{'rock': 31, 'alternative': 27, 'electronic': 16, 'alternative rock': 16, 'pop': 10}"
3,5,"{'alternative': 26, 'indie': 26, 'rock': 21, 'folk': 14, 'indie rock': 14}"
4,6,"{'female vocalists': 29, 'soul': 22, 'rnb': 18, 'hip-hop': 18, 'pop': 12}"
5,7,"{'pop': 32, 'female vocalists': 28, 'rnb': 17, 'dance': 15, 'soul': 8}"
6,8,"{'pop': 35, 'female vocalists': 32, 'singer-songwriter': 13, 'soul': 10, 'rnb': 10}"
7,9,"{'korean': 23, 'japanese': 23, 'rock': 18, 'female vocalists': 18, 'k-pop': 18}"
8,10,"{'indie': 30, 'alternative': 25, 'rock': 19, 'indie rock': 17, 'folk': 8}"
9,11,"{'pop': 36, 'rnb': 19, 'dance': 17, 'hip-hop': 15, 'female vocalists': 14}"
10,12,"{'rock': 35, 'alternative': 28, 'metal': 14, 'alternative rock': 12, 'electronic': 12}"
11,13,"{'pop': 28, 'female vocalists': 24, 'dance': 22, 'rock': 14, 'electronic': 12}"
12,14,"{'garage rock': 25, '60s': 20, 'rock': 20, 'classic rock': 20, 'psychedelic': 15}"
13,15,"{'indie': 28, 'alternative': 26, 'rock': 23, 'folk': 12, '80s': 12}"
14,16,"{'pop': 30, 'eurovision': 20, 'greek': 20, 'female vocalists': 19, 'dance': 11}"
15,17,"{'pop': 35, 'female vocalists': 27, 'rock': 16, 'dance': 12, 'alternative': 10}"
16,18,"{'rock': 45, 'british': 16, 'classic rock': 16, 'alternative': 13, 'electronic': 10}"
17,20,"{'electronic': 31, 'ambient': 25, 'idm': 19, 'electronica': 14, 'metal': 11}"
18,21,"{'pop': 34, 'female vocalists': 27, 'dance': 21, 'rnb': 10, 'latin': 8}"
19,22,"{'metalcore': 28, 'metal': 28, 'death metal': 15, 'hardcore': 15, 'melodic death metal': 13}"
20,23,"{'rock': 37, 'alternative': 20, 'post-punk': 17, 'alternative rock': 14, 'classic rock': 11}"
21,24,"{'female vocalists': 32, 'pop': 27, 'rock': 17, 'dance': 14, 'electronic': 11}"
22,25,"{'pop': 32, 'female vocalists': 25, 'rnb': 19, 'dance': 16, 'british': 8}"
23,26,"{'metal': 31, 'heavy metal': 27, 'power metal': 19, 'progressive metal': 12, 'thrash metal': 10}"
24,27,"{'rock': 34, 'alternative': 25, 'female vocalists': 19, 'pop': 12, 'alternative rock': 9}"
25,28,"{'80s': 27, 'new wave': 22, 'pop': 19, 'synthpop': 16, 'synth pop': 15}"
26,29,"{'pop': 30, 'female vocalists': 22, 'rock': 19, 'dance': 19, 'rnb': 11}"
27,30,"{'rock': 27, 'pop': 27, 'female vocalists': 22, 'alternative': 15, 'dance': 10}"
28,31,"{'electronic': 26, 'synthpop': 21, '80s': 21, 'pop': 17, 'new wave': 14}"
29,32,"{'alternative': 32, 'rock': 25, 'indie': 23, 'alternative rock': 10, 'british': 10}"
30,33,"{'rock': 32, 'progressive rock': 20, 'french': 16, 'instrumental': 16, 'classical': 16}"
31,34,"{'rock': 30, 'indie': 24, 'alternative': 24, 'japanese': 11, 'indie rock': 11}"
32,35,"{'progressive rock': 27, 'progressive': 18, 'alternative': 18, 'rock': 18, 'experimental': 18}"
33,36,"{'rock': 25, 'screamo': 20, 'alternative': 20, 'post-hardcore': 18, 'hardcore': 18}"
34,37,"{'electronic': 31, 'industrial': 19, 'experimental': 19, 'rock': 19, 'pop': 12}"
35,38,"{'rock': 35, 'alternative': 22, 'indie': 16, 'british': 14, 'classic rock': 12}"
36,39,"{'metal': 26, 'industrial': 22, 'death metal': 17, 'black metal': 17, 'electro-industrial': 17}"
37,40,"{'electronic': 24, 'ebm': 24, 'industrial': 20, 'futurepop': 18, 'synthpop': 15}"
38,41,"{'metal': 32, 'heavy metal': 29, 'power metal': 20, 'thrash metal': 11, 'speed metal': 9}"
39,42,"{'rock': 32, 'alternative': 25, 'indie': 19, 'alternative rock': 12, 'pop': 12}"
40,43,"{'electronic': 36, 'dance': 20, 'alternative': 16, 'rock': 16, 'electronica': 13}"
41,44,"{'rock': 37, 'classic rock': 28, '60s': 12, 'progressive rock': 12, 'metal': 12}"
42,45,"{'pop': 35, 'female vocalists': 27, 'dance': 16, 'rnb': 12, 'rock': 10}"
43,46,"{'pop': 32, 'female vocalists': 25, 'rnb': 20, 'dance': 12, 'hip-hop': 12}"
44,47,"{'pop': 38, 'female vocalists': 30, 'rock': 12, 'pop rock': 11, 'dance': 9}"
45,48,"{'pop': 29, 'female vocalists': 21, 'rock': 19, '80s': 17, 'dance': 14}"
46,49,"{'pop': 27, 'female vocalists': 21, 'dance': 18, 'indie': 18, 'rock': 15}"
47,50,"{'rock': 28, 'indie': 22, 'alternative': 18, 'british': 17, 'indie rock': 15}"
48,51,"{'metal': 35, 'thrash metal': 26, 'heavy metal': 16, 'speed metal': 12, 'death metal': 10}"
49,52,"{'metalcore': 24, 'hardcore': 21, 'deathcore': 18, 'metal': 18, 'grindcore': 18}"
50,53,"{'pop': 32, 'dance': 25, 'female vocalists': 20, 'hip-hop': 11, 'rnb': 11}"
51,54,"{'pop': 31, 'female vocalists': 29, 'dance': 16, 'british': 12, 'rnb': 12}"
52,55,"{'hip-hop': 28, 'rap': 26, 'hip hop': 21, 'underground hip-hop': 18, 'rock': 7}"
53,56,"{'rock': 35, 'alternative': 22, 'indie': 16, 'brazilian': 15, 'alternative rock': 12}"
54,57,"{'rock': 26, 'female vocalists': 20, 'pop': 20, 'hardcore': 17, 'post-hardcore': 17}"
55,58,"{'female vocalists': 31, 'pop': 28, 'rock': 17, 'disney': 13, 'pop rock': 11}"
56,59,"{'rock': 26, 'alternative': 23, 'metal': 21, 'industrial': 15, 'electronic': 15}"
57,60,"{'indie': 26, 'ambient': 24, 'electronic': 24, 'piano': 13, 'folk': 13}"
58,61,"{'brazilian': 29, 'brasil': 21, 'mpb': 21, 'female vocalists': 15, 'rock': 13}"
59,62,"{'rock': 34, 'alternative': 27, 'electronic': 16, 'british': 11, 'indie': 11}"
60,63,"{'rock': 31, 'hard rock': 20, 'classic rock': 20, 'heavy metal': 18, 'british': 11}"
61,64,"{'soul': 33, 'funk': 21, 'electronic': 19, 'pop': 14, 'rnb': 14}"
62,65,"{'rock': 33, 'alternative': 28, 'alternative rock': 14, 'hard rock': 14, 'hardcore': 12}"
63,66,"{'new wave': 30, '80s': 28, 'pop': 18, 'synthpop': 13, 'electronic': 11}"
64,68,"{'pop': 26, 'female vocalists': 26, 'rnb': 21, 'soul': 15, 'dance': 13}"
65,69,"{'hip-hop': 29, 'hip hop': 20, 'rap': 20, 'electronic': 17, 'experimental': 15}"
66,70,"{'rock': 29, 'alternative': 26, 'indie': 17, 'indie rock': 16, 'alternative rock': 12}"
67,71,"{'metal': 37, 'power metal': 20, 'heavy metal': 18, 'progressive metal': 16, 'rock': 10}"
68,72,"{'pop': 33, 'female vocalists': 33, 'dance': 15, 'rnb': 11, 'soul': 8}"
